cluster_id,cluster_leader,canonical_name,name,frequency,score_to_leader,cluster_size,canonical_frequency,all_variants
347,Michigan Publishing,Michigan Publishing,University of Michigan Press,1,100.0,4,3,"Michigan Publishing, Michigan State University, Michigan publishing, University of Michigan Press"
347,Michigan Publishing,Michigan Publishing,Michigan publishing,1,100.0,4,3,"Michigan Publishing, Michigan State University, Michigan publishing, University of Michigan Press"
347,Michigan Publishing,Michigan Publishing,Michigan Publishing,3,100.0,4,3,"Michigan Publishing, Michigan State University, Michigan publishing, University of Michigan Press"
348,"Southwestern Law School, Los Angeles, CA","Southwestern Law School, Los Angeles, CA","Southwestern Law School, Los Angeles, CA",1,100.0,1,1,"Southwestern Law School, Los Angeles, CA"
349,Praise Worthy Prize,Praise Worthy Prize,Praise Worthy Prize,4,100.0,1,4,Praise Worthy Prize
350,University of Warmia and Mazury in Olsztyn,University of Warmia and Mazury in Olsztyn,University of Warmia and Mazury in Olsztyn,1,100.0,2,1,"University of Warmia and Mazury in Olsztyn, University of Warmia and Mazury in Olsztyn Publishing House"
350,University of Warmia and Mazury in Olsztyn,University of Warmia and Mazury in Olsztyn,University of Warmia and Mazury in Olsztyn Publishing House,1,100.0,2,1,"University of Warmia and Mazury in Olsztyn, University of Warmia and Mazury in Olsztyn Publishing House"
351,PLOS,PLOS,PLOS,135,100.0,1,135,PLOS
352,University of Warsaw,University of Warsaw,University of Warsaw,2,100.0,1,2,University of Warsaw
353,CSIRO Publishing,CSIRO Publishing,CSIRO Publishing,3,100.0,1,3,CSIRO Publishing
354,IJMAR,IJMAR,IJMAR,2,100.0,1,2,IJMAR
355,Maad Rayan Publishing Company,Maad Rayan Publishing Company,Maad Rayan Publishing Company,2,100.0,1,2,Maad Rayan Publishing Company
356,Coventry University,Coventry University,Coventry University,3,100.0,1,3,Coventry University
357,European Alliance for Innovation (EAI),European Alliance for Innovation (EAI),European Alliance for Innovation (EAI),1,100.0,1,1,European Alliance for Innovation (EAI)
358,Royal College of Psychiatrists,Royal College of Psychiatrists,Royal College of Psychiatrists,9,100.0,2,9,"Royal College of Psychiatrists, The Royal College of Psychiatrists"
358,Royal College of Psychiatrists,Royal College of Psychiatrists,The Royal College of Psychiatrists,1,100.0,2,9,"Royal College of Psychiatrists, The Royal College of Psychiatrists"
359,Company of Biologists,Company of Biologists,The Company of Biologists Ltd,1,100.0,6,6,"Company of Biologists, Company of Biologists Ltd., The Company of Biologists, The Company of Biologists Ltd, The Company of Biologists Ltd., The Company of Biologists Ltd.Cambridge"
